ID,Item Number,Item Name,UNIT,CATEGORY,REORDERQTY,Average Unit Cost,Regular Price,WHOLESALE,TAXRATE,TAX GROUP,LOCATION,qty,Item Type,Item Description,shelf,supplier
4165,9195,EPSON 673 LIGHT CYAN,PC,ELECTRONICS,0,1900,0,0,16,B,Main Shop,100,inventory,EPSON 673 LIGHT CYAN,,
4166,9199,WINTOUCH M13 SCREEN,PC,ELECTRONICS,0,2597,3500,0,16,B,Main Shop,100,inventory,,,
4167,9209,HP 250 G4/G5 HDD CONNECTOR,PC,ELECTRONICS,0,1000,0,0,16,B,Main Shop,100,inventory,HP 250G4/G5 HDD CONNECTOR,,
4168,9094,E410MA-1B -(UK)- MODULE,PC,ELECTRONICS,0,1720,2500,0,16,B,Main Shop,100,inventory,E410MA-1B -(UK)- MODULE,,
4169,1297,UNIVERSAL MODEM,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,,,
4170,9134,LENOVO IP 3-151GL05,PC,ELECTRONICS,0,26308,29000,0,16,B,Main Shop,100,inventory,N4020-CELERON 4GB 1TB,,
4171,9148,HP 13-AQ SCREEN FULL ASSEMBLY,PC,ELECTRONICS,0,10762,20000,0,16,B,Main Shop,100,inventory,"HP ENVY 13T-AQ000
LCD TOUCH SCREEN FULL ASSEMBLY",,
4172,9164,TYPE C PHONE CABLE,PC,ELECTRONICS,0,500,0,0,16,B,Main Shop,100,inventory,TYPE C PHONE CABLE,,
4173,9196,EPSON 673 YELLOW,PC,ELECTRONICS,0,1900,0,0,16,B,Main Shop,100,inventory,EPSON 673 YELLOW,,
4174,9200,WINTOUCH M13 TOUCH,PC,ELECTRONICS,0,672,1500,0,16,B,Main Shop,100,inventory,,,
4175,9210,DELL E6430 COI3 LAPTOP,PC,ELECTRONICS,0,0,17000,0,16,B,Main Shop,100,inventory,COI3 /4GB / 500GB,,
4176,9211,LEN IDEAPAD 510 CHARGING PORT,PC,ELECTRONICS,0,600,0,0,16,B,Main Shop,100,inventory,LENOVO IDEAPAD 510 CHARGING PORT,,
4177,9073,HP 840 G1 CI7 TOUCH LAPTOP,PC,ELECTRONICS,0,15900,29000,0,16,B,Main Shop,100,inventory,CORE I7 4TH / 4GB RAM / 256 SSD TOUCHSCREEN,,
4178,9095,G512LWS LCD BEZEL ADHESIVE,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,13NR0340L05011,,
4179,9108,HP OMEN 15-5000 FAN,PC,ELECTRONICS,0,1250,3000,0,16,B,Main Shop,100,inventory,HP OMEN 15-5000 FAN,,
4180,9135,81WQ007FUE,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,IP 3 15IGL05 CELERON- BLACK KB_GY_UKE,,
4181,9149,HP 1030 G3 SCREEN FULL ASSEMBLY,PC,ELECTRONICS,0,19084.5,30000,0,16,B,Main Shop,100,inventory,HP PN: L06305-110,,
4182,9165,LP140QH2 SP B1 X1 CARBON SCREEN,PC,ELECTRONICS,0,12804,16000,0,16,B,Main Shop,100,inventory,LP140QH2 (SP) B1 X1 CARBON SCREEN,,
4183,9201,WINTOUCH M719 TOUCH,PC,ELECTRONICS,0,482.27273,1500,0,16,B,Main Shop,100,inventory,,,
